product_id,wine_type,wine_name,wine_origin,rating_avg,rating_num,price_current,price_prediscount,discount_nom,savings_percent
1405250,Malbec,Chateau Du Caillau Cahors 2021,"Cahors, Southwest, France",5.0,19,15,39,$23.01,59
1358914,Tempranillo,Bodegas Lan D-12 2019,"Rioja, Spain",4.8,28,10,19,$2.01,15
1288787,Other Red Blends,Bodegas La Purisma Old Vines Red Blend 2019,"Yecla, Spain",4.3,61,22,13,$7.01,23
1301819,Tempranillo,Eguren Ugarte Cosecha 2021,"Rioja, Spain",4.6,27,11,10,$6.01,33
1384660,Gamay,Domaine Gilles Coperet Brouilly Saburin 2021,"Beaujolais, Burgundy, France",4.4,12,29,18,$5.01,14
1308645,Gamay,Domaine Gilles Coperet Morgon 2021,"Beaujolais, Burgundy, France",4.3,47,18,18,$6.01,24
1306213,Barbera,Tenute Neirano Barbera D'Asti Superiore Tirteo 2020,"Asti, Piedmont, Italy",4.5,38,18,11,$2.01,10
1227876,Other Red Blends,Vignobles Marie Maria Greviere Madiran 2018,"Southwest, France",4.3,57,14,15,$2.01,12
1162494,Zinfandel,Scott Harvey Mountain Selection Zinfandel 2020,"Amador, Sierra Foothills, California",4.6,20,,30,,
1431916,Montepulciano,Podere Castorani Montepulciano d'Abruzzo Cadetto 2018,"Abruzzo, Italy",4.7,23,,18,,
903856,Tempranillo,Emilio Moro Malleolus de Valderramiro 2019,"Ribera del Duero, Spain",5.0,15,,159,,
1298793,Dolcetto,Rocca Giovanni Dolcetto D'Alba Vigna Sant' Anna 2022,"Alba, Piedmont, Italy",4.6,27,,13,,
1221680,Nebbiolo,Adriano Marco e Vittorio Sanadaive Barbaresco 2019,"Barbaresco, Piedmont, Italy",4.4,51,,35,,
959286,Syrah/Shiraz,Leeuwin Estate Art Series Shiraz 2018,"Margaret River, Western Australia, Australia",4.2,8,,34,,
1412785,Other Red Blends,Zeni Costalago Rosso Veronese 2020,"Verona, Veneto, Italy",4.8,18,,15,,
1352917,Gamay,Domaine Gilles Coperet Fleurie La Madone 2021,"Beaujolais, Burgundy, France",4.1,32,,18,,
779654,Tempranillo,PenaMonte Seleccion 2016,"Toro, Spain",4.3,76,,11,,
1344214,Malbec,Georges Vigouroux Chateau Leret Monpezat Malbec 2016,"Cahors, Southwest, France",4.7,13,,24,,
1041666,Tempranillo,Sierra Cantabria Seleccion 2020,"Rioja, Spain",4.2,12,,12,,
817065,Sangiovese,Barone Ricasoli Brolio Chianti Classico 2019,"Chianti Classico, Chianti, Tuscany, Italy",4.4,61,,23,,
1233612,Cabernet Sauvignon,Ammunition Cabernet Sauvignon 2020,"Paso Robles, Central Coast, California",4.1,69,,25,,
1131511,Sangiovese,La Lecciaia Toscana Rosso 2016,"Tuscany, Italy",4.2,50,,11,,
1233626,Pinot Noir,Ammunition Pinot Noir 2020,"Sonoma County, California",4.5,57,,21,,
787001,Other Red Blends,Palacios Remondo La Vendimia 2019,"Rioja, Spain",4.2,47,,17,,
1301830,Tuscan Blends,Michele Satta Bolgheri Rosso 2021,"Bolgheri, Tuscany, Italy",4.7,36,,27,,
876609,Cabernet Sauvignon,Don Melchor Cabernet Sauvignon 2019,"Maipo Valley, Chile",4.1,38,124,150,$25.01,17
763637,Rhone Red Blends,Chateau Saint-Roch Cotes du Roussillon Kerbuccio Maury Sec 2018,"Maury, Roussillon, South of France, France",3.8,9,24,31,$6.02,19
1145574,Bordeaux Red Blends,Chateau Latour (1 Bottle in OWC) 2010,"Pauillac, Bordeaux, France",0.0,0,56,"1,499",$3.00,5
117139,Bordeaux Red Blends,Dominus Estate 2009,"Yountville, Napa Valley, California",4.5,20,21,349,$3.01,12
583739,Bordeaux Red Blends,Chateau Lafite Rothschild 2019,"Pauillac, Bordeaux, France",4.7,25,42,989,$17.01,28
1176088,Other Red Blends,The Prisoner Wine Company The Prisoner Red Blend 2021,California,4.6,71,19,59,$13.01,39
1069468,Cabernet Sauvignon,Decoy California Cabernet Sauvignon 2020,California,4.2,84,36,25,$18.01,33
534558,Sangiovese,Castellani Sangiovese 2016,"Tuscany, Italy",4.1,2064,16,17,$23.01,58
746642,Bordeaux Red Blends,Chateau Les Gravieres 2020,"St. Emilion, Bordeaux, France",3.7,31,89,29,$11.01,11
1136909,Nerello Mascalese,Tornatore Pietrarizzo Etna Rosso 2019,"Sicily, Italy",3.6,19,14,60,$13.01,46
583845,Bordeaux Red Blends,Chateau Pontet-Canet 2019,"Pauillac, Bordeaux, France",4.5,13,29,149,$15.01,33
1432148,Cabernet Sauvignon,Juggernaut Hillside Cabernet Sauvignon 2021,California,0.0,0,,19,,
955310,Bordeaux Red Blends,Chateau Latour (1 Bottle in OWC) 2014,"Pauillac, Bordeaux, France",0.0,0,,599,,
1171412,Sangiovese,Frescobaldi Nipozzano Chianti Rufina Riserva 2019,"Chianti, Tuscany, Italy",3.9,29,,33,,
746193,Bordeaux Red Blends,Chateau Fontenil 2020,"Fronsac, Bordeaux, France",4.6,8,,27,,
1104194,Cabernet Sauvignon,Jordan Cabernet Sauvignon 2018,"Alexander Valley, Sonoma County, California",4.6,49,,64,,
1133016,Sangiovese,Bibbiano Vigna del Capannino Chianti Classico Gran Selezione 2019,"Chianti Classico, Chianti, Tuscany, Italy",4.0,22,,55,,
1202359,Bordeaux Red Blends,Chateau Haut Gaudin Bordeaux Superieur 2019,"Bordeaux, France",4.3,93,,40,,
741360,Pinot Noir,Faiveley Mercurey Rouge 2019,"Mercurey, Cote Chalonnaise, Burgundy, France",4.3,23,,37,,
1456793,Sangiovese,Ruffino Riserva Ducale Oro Chianti Classico Gran Selezione (3 Liter) with Wood Box 2018,"Chianti Classico, Chianti, Tuscany, Italy",0.0,0,,189,,
1190098,Pinot Noir,Albert Bichot Pommard Clos des Ursulines Domaine du Pavillon Monopole 2019,"Pommard, Cote de Beaune, Cote d'Or, Burgundy, France",0.0,0,,101,,
938102,Malbec,Sur de los Andes Reserva Malbec 2018,"Mendoza, Argentina",4.2,189,,28,,
1173521,Cabernet Sauvignon,Robert Mondavi Private Selection Bourbon Barrels Cabernet Sauvignon 2021,"Monterey, Central Coast, California",4.2,57,,16,,
